OBJECT_NAME,NORAD_CAT_ID
THOR ABLESTAR DEB,230
THOR ABLESTAR DEB,231
THOR ABLESTAR DEB,232
THOR ABLESTAR DEB,233
THOR ABLESTAR DEB,234
THOR ABLESTAR DEB,235
THOR ABLESTAR DEB,236
THOR ABLESTAR DEB,237
THOR ABLESTAR DEB,238
THOR ABLESTAR DEB,239
MERCURY ATLAS 6,240
ATLAS D R/B,241
FTV 2301,242
THOR ABLESTAR DEB,243
THOR ABLESTAR DEB,244
THOR ABLESTAR DEB,245
THOR ABLESTAR DEB,246
DISCOVERER 38,247
DISCOVERER 38 DEB,248
DISCOVERER 38 DEB,249
THOR ABLESTAR DEB,250
DISCOVERER 38 DEB,251
THOR ABLESTAR DEB,252
THOR ABLESTAR DEB,253
THOR ABLESTAR DEB,254
OSO 1,255
SAMOS 6,256
DELTA 1 R/B,257
SAMOS 6 DEB [REFLECTOR],258
ATLAS AGENA B R/B,259
THOR ABLESTAR DEB,260
THOR ABLESTAR DEB,261
THOR ABLESTAR DEB,262
THOR ABLESTAR DEB,263
THOR ABLESTAR DEB,264
THOR ABLESTAR DEB,265
COSMOS 1 (SPUTNIK 11),266
SL-7 R/B,267
THOR ABLESTAR DEB,268
COSMOS 2 (SPUTNIK 12),269
SL-7 R/B,270
MIDAS 5 (STRONGBACK),271
MIDAS 5 DEB,272
MIDAS 5 DEB,273
MIDAS 5 DEB,274
THOR ABLESTAR DEB,275
FTV 1154,276
FTV 1154 DEB,277
FTV 1154 DEB,278
FTV 1154 DEB,279
RANGER 4,280
COSMOS 3 (SPUTNIK 13),281
ATLAS AGENA B R/B,282
SL-7 R/B,283
SL-3 R/B,284
ARIEL 1 (UK-1),285
SAMOS 7 (FTV 2401),286
COSMOS 4 (SPUTNIK 14),287
DELTA 1 R/B,288
SL-3 DEB,289
FTV 1125,290
FTV 1125 DEB,291
FTV 1126,292
FTV 1126 DEB,293
FTV 1126 DEB,294
MERCURY ATLAS 7,295
ATLAS D 7 R/B,296
COSMOS 5 (SPUTNIK 15),297
SL-7 R/B,298
THOR ABLESTAR DEB,299
THOR ABLESTAR DEB,300
THOR ABLESTAR DEB,301
FTV 1128,302
FTV 1128 DEB,303
FTV 1127,304
OSCAR 2 (OSCAR II),305
FTV 1127 DEB,306
SAMOS 8 (FTV 2402),307
FTV 2312,308
TIROS 5,309
FTV 2312 DEB,310
DELTA 1 R/B,311
DELTA 1 DEB [YO],312
DELTA 1 DEB [YO],313
FTV 2312 DEB,314
FTV 1129,315
FTV 1151,316
THOR ABLESTAR DEB,317
THOR ABLESTAR DEB,318
THOR ABLESTAR DEB,319
THOR ABLESTAR DEB,320
THOR ABLESTAR DEB,321
THOR ABLESTAR DEB,322
THOR ABLESTAR DEB,323
THOR ABLESTAR DEB,324
THOR ABLESTAR DEB,325
THOR ABLESTAR DEB,326
THOR ABLESTAR DEB,327
THOR ABLESTAR DEB,328
THOR ABLESTAR DEB,329
THOR ABLESTAR DEB,330
THOR ABLESTAR DEB,331
THOR ABLESTAR DEB,332
THOR ABLESTAR DEB,333
THOR ABLESTAR DEB,334
THOR ABLESTAR DEB,335
THOR ABLESTAR DEB,336
THOR ABLESTAR DEB,337
COSMOS 6 (SPUTNIK 16),338
SL-7 R/B,339
TELSTAR 1,340
DELTA 1 R/B,341
ATLAS AGENA B R/B,342
SAMOS 9 (FTV 2403),343
FTV 1130,344
FTV 1131,345
COSMOS 7 (SPUTNIK 17),346
SL-3 R/B,347
SL-3 DEB,348
SL-3 DEB,349
THOR ABLESTAR DEB,350
THOR ABLESTAR DEB,351
THOR ABLESTAR DEB,352
THOR ABLESTAR DEB,353
THOR ABLESTAR DEB,354
THOR ABLESTAR DEB,355
THOR ABLESTAR DEB,356
THOR ABLESTAR DEB,357
THOR ABLESTAR DEB,358
THOR ABLESTAR DEB,359
FTV 1152,360
SAMOS 10 (FTV 2404),361
FTV 1152 DEB,362
VOSTOK 3,363
SL-3 R/B,364
VOSTOK 4,365
SL-3 R/B,366
COSMOS 8 (SPUTNIK 18),367
SL-7 R/B,368
FTV 3502,369
SCOUT X-2M DEB,370
SPUTNIK 19,371
SL-6 R/B,372
SL-6 DEB,373
MARINER 2,374
ATLAS AGENA B R/B,375
SL-6 DEB,376
FTV 1153,377
SCOUT X-2M DEB,378
SL-6 DEB,379
SL-6 DEB,380
SPUTNIK 20,381
SL-6 R/B,382
SL-6 DEB,383
SL-6 DEB,384
FTV 1132,385
SL-6 DEB,386
SL-6 DEB,387
SCOUT X-2M R/B,388
SPUTNIK 21,389
SL-6 R/B,390
SL-6 DEB,391
SL-6 DEB,392
SL-6 DEB,393
SL-6 DEB,394
SL-6 DEB,395
FTV 1133 & ERS 2,396
TIROS 6,397
DELTA 1 R/B,398
DELTA 1 DEB [YO],399
DELTA 1 DEB [YO],400
THOR ABLESTAR DEB,401
THOR ABLESTAR DEB,402
THOR ABLESTAR DEB,403
THOR ABLESTAR DEB,404
THOR ABLESTAR DEB,405
THOR ABLESTAR DEB,406
THOR ABLESTAR DEB,407
THOR ABLESTAR DEB,408
THOR ABLESTAR DEB,409
THOR ABLESTAR DEB,410
THOR ABLESTAR DEB,411
THOR ABLESTAR DEB,412
THOR ABLESTAR DEB,413
THOR ABLESTAR DEB,414
THOR ABLESTAR DEB,415
THOR ABLESTAR DEB,416
THOR ABLESTAR DEB,417
THOR ABLESTAR DEB,418
THOR ABLESTAR DEB,419
THOR ABLESTAR DEB,420
THOR ABLESTAR DEB,421
COSMOS 9,422
SL-3 R/B,423
ALOUETTE 1 (S-27),424
SL-3 DEB,425
THOR AGENA B R/B,426
FTV 1154,427
SL-3 DEB,428
SL-3 DEB,429
SL-3 DEB,430
SL-3 DEB,431
EXPLORER 14 (SERB 53A),432
MERCURY ATLAS 8,433
ATLAS D R/B,434
SL-3 DEB,435
FTV 1134,436
COSMOS 10,437
SL-3 R/B,438
RANGER 5,439
ATLAS AGENA B R/B,440
COSMOS 11,441
SL-7 R/B,442
SPUTNIK 22,443
STARAD (FTV 1401),444
EXPLORER 15 (SERB 53B),445
ANNA 1B,446
THOR ABLESTAR R/B,447
SL-6 R/B,448
SL-6 DEB,449
MARS 1,450
SPUTNIK 24,451
SL-6 DEB,452
FTV 1136,453
SL-6 R/B,454
FTV 2405,455
SPUTNIK 22 DEB,456
SPUTNIK 22 DEB,457
SPUTNIK 22 DEB,458
SPUTNIK 22 DEB,459
SPUTNIK 22 DEB,460
THOR ABLESTAR DEB,461
THOR ABLESTAR DEB,462
THOR ABLESTAR DEB,463
THOR ABLESTAR DEB,464
THOR ABLESTAR DEB,465
THOR ABLESTAR DEB,466
THOR ABLESTAR DEB,467
THOR ABLESTAR DEB,468
THOR ABLESTAR DEB,469
THOR ABLESTAR DEB,470
THOR ABLESTAR DEB,471
THOR ABLESTAR DEB,472
THOR ABLESTAR DEB,473
THOR ABLESTAR DEB,474
THOR ABLESTAR DEB,475
THOR ABLESTAR DEB,476
THOR ABLESTAR DEB,477
THOR ABLESTAR DEB,478
THOR ABLESTAR DEB,479
THOR ABLESTAR DEB,480
FTV 1135,481
SPUTNIK 22 DEB,482
SPUTNIK 22 DEB,483
SPUTNIK 22 DEB,484
SPUTNIK 22 DEB,485
SPUTNIK 22 DEB,486
SPUTNIK 22 DEB,487
SL-6 DEB,488
SL-6 DEB,489
FTV 1155,490
SPUTNIK 22 DEB,491
SPUTNIK 22 DEB,492
SPUTNIK 22 DEB,493
SPUTNIK 22 DEB,494
SPUTNIK 22 DEB,495
SPUTNIK 22 DEB,496
SPUTNIK 22 DEB,497
SPUTNIK 22 DEB,498
SPUTNIK 22 DEB,499
SPUTNIK 22 DEB,500
SPUTNIK 22 DEB,501
BLACK SPHERE,502
RELAY 1 (A-15),503
INJUN 3,504
FTV 1156,505
EXPLORER 16,506
SURCAL 1,507
SURCAL 1A,508
TRANSIT 5A,509
THOR AGENA B DEB,510
THOR AGENA B DEB,511
SPUTNIK 22 DEB,512
CALSPHERE 1A,513
SCOUT X-3 DEB,514
DELTA 1 R/B,515
THOR ABLESTAR DEB,516
COSMOS 12,517
SL-3 R/B,518
SCOUT X-3 R/B,519
THOR AGENA D R/B,520
SPUTNIK 25,521
SPUTNIK 25 DEB,522
SCOUT X-3 DEB [YO],523
SPUTNIK 25 DEB,524
FTV 1157,525
FTV 1157 DEB,526
FTV 2313,527
FTV 2313 DEB,528
FTV 2313 DEB,529
THOR ABLESTAR DEB,530
THOR ABLESTAR DEB,531
DELTA 1 R/B,532
FTV 0240,533
SCOUT X-3M R/B,534
SCOUT X-3M DEB,535
SCOUT X-3M DEB,536
THOR ABLESTAR DEB,537
THOR ABLESTAR DEB,538
THOR ABLESTAR DEB,539
THOR ABLESTAR DEB,540
THOR ABLESTAR DEB,541
THOR ABLESTAR DEB,542
THOR ABLESTAR DEB,543
THOR ABLESTAR DEB,544
THOR ABLESTAR DEB,545
THOR ABLESTAR DEB,546
THOR ABLESTAR DEB,547
THOR ABLESTAR DEB,548
THOR ABLESTAR DEB,549
THOR ABLESTAR DEB,550
THOR ABLESTAR DEB,551
THOR ABLESTAR DEB,552
SYNCOM 1,553
COSMOS 13,554
SL-3 R/B,555
THOR ABLESTAR DEB,556
THOR ABLESTAR DEB,557
THOR ABLESTAR DEB,558
THOR ABLESTAR DEB,559
THOR ABLESTAR DEB,560
THOR ABLESTAR DEB,561
FTV 1660,562
SL-6 R/B,563
EXPLORER 17 (S-6),564
DELTA 1 R/B,565
LUNA 4,566
COSMOS 14,567
SL-7 R/B,568
COSMOS 15,569
SL-3 R/B,570
COSMOS 16,571
SL-3 R/B,572
TELSTAR 2 (A-41),573
MIDAS 6 (FTV 1169),574
DELTA 1 R/B,575
MERCURY ATLAS 9,576
ATLAS D R/B,577
FTV 1110,578
ERS 5,579
COSMOS 17,580
SL-7 DEB,581
SL-7 DEB,582
SL-7 DEB,583
SL-7 DEB,584
SL-7 DEB,585
COSMOS 18,586
SL-7 R/B,587
SL-7 R/B,588
DASH 1,589
THOR AGENA D,590
VOSTOK 5,591
SL-3 R/B,592
THOR AGENA D R/B,593
TRANSIT 5A-3,594
VOSTOK 6,595
SL-3 R/B,596
SURCAL 1B,597
FTV 1292,598
SOLRAD 6,599
RADOSE 112,600
LOFTI 2A,601
WESTFORD NEEDLES,602
SCOUT X-3 R/B,603
TIROS 7,604
DELTA 1 R/B,605
